id;name;display_name;api_uri;resource_type
1;calculate hacking Toys;Intelligent Shoes Arizona;Fully-configurable;COMPONENT
2;Consultant program;transmitter Home solution;supply-chains Colorado Sweden;COMPONENT
3;Kip red;up;Sleek functionalities Music;COMPONENT
4;Division Berkshire;Mission;Sleek;DOMAIN
5;Gardens;Plastic;plug-and-play invoice Credit;DOMAIN
6;Global;optical;Japan back-end;PAGE_URL
7;Paradigm Brook;Supervisor Fresh Buckinghamshire;benchmark Steel Function-based;COMPONENT
8;Shoes;quantify Buckinghamshire program;Chair niches deposit;DOMAIN
9;Cambridgeshire;Buckinghamshire Decentralized;Oklahoma Gorgeous;PAGE_URL
10;firewall;Handcrafted morph;Cambridgeshire Metal;COMPONENT
