id;display_name;name;version;party_id
1;Wooden collaborative system;Grocery leverage;Account Metal PCI;1
2;Account;Steel Bedfordshire Frozen;Nevada;2
3;payment;plum Sleek;Developer Squares;3
4;Multi-channelled responsive;solid;bluetooth deposit circuit;4
5;Libyan frictionless;auxiliary;invoice;5
6;silver;Customer Buckinghamshire;Vermont Sleek;6
7;Bedfordshire;enhance invoice Cambridgeshire;Intelligent CSS;7
8;encryption;orange teal;sticky;8
9;Keyboard;user-centric;RAM quantify;9
10;Tasty plum Coordinator;Representative;THX Re-engineered bi-directional;10
